URL,Meta_HTML,Section,Time,Title
https://newyork.craigslist.org/brk/atq/d/antique-armour/6343091885.html,"<span class=""result-meta"">
                <span class=""result-price"">$1250</span>


                <span class=""result-hood""> (Brooklyn)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6343091885"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:04,Antique Armour
https://newyork.craigslist.org/brk/atq/d/antique-shutters-cabinet/6345841382.html,"<span class=""result-meta"">
                <span class=""result-price"">$650</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6345841382"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:04,"Antique Shutters/ Cabinet Doors/ Salvage- 34""x 40"""
https://newyork.craigslist.org/que/atq/d/antique-mirror-2ft-3ft/6322721163.html,"<span class=""result-meta"">
                <span class=""result-price"">$99</span>


                <span class=""result-hood""> (Astoria)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6322721163"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:04,Antique Mirror 2ft x 3ft
https://newyork.craigslist.org/que/atq/d/brass-document-holder-pair/6353996019.html,"<span class=""result-meta"">
                <span class=""result-price"">$99</span>


                <span class=""result-hood""> (Astoria)</span>

                <span class=""result-tags"">
                    <span class=""maptag"" data-pid=""6353996019"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:04,Brass document holder (pair)
https://newyork.craigslist.org/brk/atq/d/beautiful-glass-door-23x87/6347381867.html,"<span class=""result-meta"">
                <span class=""result-price"">$225</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6347381867"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:03,"Beautiful Glass Door- 23""x87""- Historical Salvage/ Reclaimed"
https://newyork.craigslist.org/brx/atq/d/wartime-vintage-gas-mask-bags/6329583041.html,"<span class=""result-meta"">
                <span class=""result-price"">$50</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6329583041"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:01,WARTIME VINTAGE GAS MASK BAGS (x2 of them)
https://newyork.craigslist.org/brx/atq/d/woven-basket-natural-braided/6329571383.html,"<span class=""result-meta"">
                <span class=""result-price"">$45</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6329571383"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:01,"Woven Basket, Natural Braided Straw, Mounted on Wood, Handmade"
https://newyork.craigslist.org/lgi/atq/d/art-nouveau-bronze-table-lamp/6358901849.html,"<span class=""result-meta"">
                <span class=""result-price"">$175</span>


                <span class=""result-hood""> (Baldwin)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6358901849"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:01,"Art Nouveau Bronze Table Lamp 23"""
https://newyork.craigslist.org/brx/atq/d/metal-oil-can-and-wooden/6329524344.html,"<span class=""result-meta"">
                <span class=""result-price"">$20</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6329524344"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:00,"Metal Oil can and Wooden Spindle, vintage, set of 2"
https://newyork.craigslist.org/brx/atq/d/19th-cent-glassware-wine-beer/6328821838.html,"<span class=""result-meta"">
                <span class=""result-price"">$100</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6328821838"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",other,2017-10-24 11:00,"19th Cent. Glassware, Wine, Beer, Water Bottles, Upstate New York, 5pc"
