Title,URL,Section,Description,Time,Meta_HTML
Rove Concepts side bed table,https://newyork.craigslist.org/mnh/fuo/d/rove-concepts-side-bed-table/6359340556.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/mnh/fuo/d/rove-concepts-side-bed-table/6359340556.html""></div>
        </div>
Shipping damage<br>
Drawer works perfectly fine.  They sent me a new one.  $500 new    </section>",2017-10-24 15:20,"<span class=""result-meta"">
                <span class=""result-price"">$60</span>


                <span class=""result-hood""> (West Village)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359340556"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Room + Board Leather Recliner,https://newyork.craigslist.org/brk/fuo/d/room-board-leather-recliner/6359336967.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/brk/fuo/d/room-board-leather-recliner/6359336967.html""></div>
        </div>
This recliner is the perfect man chair. It is so comfortable. The leather could use some restoring from some sun damage and paw marks (we have a french bulldog that does shed) but there are no perforations. <br>
<br>
link to the R+B website: https://www.roomandboard.com/catalog/living/chairs/harper-recliners-in-portofino-leather?filter=Recliners<br>
Our model DOES NOT have the optional control panel or USB port.<br>
<br>
Can be picked up in the evening or weekend    </section>",2017-10-24 15:18,"<span class=""result-meta"">
                <span class=""result-price"">$350</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359336967"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Mid-Century Sonneman Chrome Extension Floor Lamp,https://newyork.craigslist.org/mnh/fuo/d/mid-century-sonneman-chrome/6334844425.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/mnh/fuo/d/mid-century-sonneman-chrome/6334844425.html""></div>
        </div>
Beautiful and versatile, this chrome floor lamp, designed by Robert Sonneman for George Kovacs, adjusts from 42"" to up to 52"" in height.  The lamp arm extends up to 26"" from the base, the bulb socket turns 90 degrees and the shade rotates 360 degrees.  It is in excellent vintage condition, with only two small spots of corrosion on the base (see photo).<br>
<br>
Local pick up, $150 curb delivery within the New York metro/Hudson Valley area (a 75 mile radius from Bloomingburg, NY), or send us your postal code for a shipping estimate.<br>
<br>
CASH OR PAYPAL ONLY!  NO CHECKS OF ANY KIND.<br>
<br>
VISIT somidcentury.biz TO SEE MORE COOL STUFF!<br>
<br>
    </section>",2017-10-24 15:17,"<span class=""result-meta"">
                <span class=""result-price"">$249</span>


                <span class=""result-hood""> (Bloomingburg)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6334844425"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Blue Runner - New from Rugs USA,https://newyork.craigslist.org/mnh/fuo/d/blue-runner-new-from-rugs-usa/6359337049.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/mnh/fuo/d/blue-runner-new-from-rugs-usa/6359337049.html""></div>
        </div>
Just barely bought this beautiful runner from Rugs USA but it just doesn't work with our apartment. The runner is 2'3"" by 11' (Safavieh Boston BOS685 Rug). See pictures!    </section>",2017-10-24 15:18,"<span class=""result-meta"">
                <span class=""result-price"">$85</span>


                <span class=""result-hood""> (Midtown East)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359337049"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Steel Legs Plastic Folding Table ($200 New on Amazon),https://newyork.craigslist.org/mnh/fuo/d/steel-legs-plastic-folding/6359338174.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/mnh/fuo/d/steel-legs-plastic-folding/6359338174.html""></div>
        </div>
Iceberg IndestrucTable TOO 1200 Series Steel Legs Plastic Folding Table. Very sturdy. The top is a little dirty from general use but nothing a Magic Eraser cant fix. * Retails new for over $200 on Amazon http://a.co/fh6EtJZ<br>
<br>
Constructed Of Blow Molded High Density Polyethylene<br>
Heavy Gauge, Powder Coated Steel Legs<br>
Lightweight - Easy To Transport, Set-Up And Store<br>
Dent And Scratch Resistant<br>
<br>
Product description<br>
Iceberg IndestrucTable Too is the broad line of lightweight, durable folding tables to meet any need or function for business, schools, hospitality or home uses. This contemporary looking table has many unique features. The top is constructed of durable, blow molded high density polyethylene has a soft, beveled radius edge and is supported by a uniquely designed, strong, steel frame. Legs are heavy gauge, gray powder coated round tubing with bracing for strength, and include non-mar plastic feet. Legs fold into protective cavity for compact storage. Washable, dent and scratch resistant. Table height is 29-inches and will accommodate large, evenly distributed loads. Lightweight easy to transport, set-up and store. Resin construction table top is blow molded high density polyethylene. Contemporary design top has a soft, 1-inches beveled radius edge. Indoor or outdoor use function and flexibility. For commercial/heavy duty environments. Heavy duty 1-inches round powder coated steel legs. Contemporary top design is 2-inches thick. 1200 pounds capacity. Measures 96-inches length by 30-inches width by 29-inches height. Available in platinum color.    </section>",2017-10-24 15:19,"<span class=""result-meta"">
                <span class=""result-price"">$50</span>


                <span class=""result-hood""> (Midtown West)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359338174"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Set of 3 (Large/Medium/Small) modern nesting side tables,https://newyork.craigslist.org/brk/fuo/d/set-of-3-large-medium-small/6359339362.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/brk/fuo/d/set-of-3-large-medium-small/6359339362.html""></div>
        </div>
I have owned these side tables for almost 10 years and they are still in great shape. I put the steel legs on the bottom myself, and you can remove those if you prefer them to sit flat on the floor.    </section>",2017-10-24 15:19,"<span class=""result-meta"">
                <span class=""result-price"">$20</span>


                <span class=""result-hood""> (Prospect Heights)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359339362"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Queen Sleeper Sofa,https://newyork.craigslist.org/lgi/fuo/d/queen-sleeper-sofa/6325313043.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/lgi/fuo/d/queen-sleeper-sofa/6325313043.html""></div>
        </div>
This is a Jennifer Convertible queen size sleeper. It is a blue fabric with a small flower-like design. The couch measures 75"" x 34"". It has never been slept in.    </section>",2017-10-24 15:19,"<span class=""result-meta"">
                <span class=""result-price"">$295</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6325313043"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Unused Queen Size Mattress CHEAP Bed,https://newyork.craigslist.org/wch/fuo/d/unused-queen-size-mattress/6359335831.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/wch/fuo/d/unused-queen-size-mattress/6359335831.html""></div>
        </div>
*Please provide phone number when replying. Thanks.*<br>
<br>
<br>
<br>
set futon sofabed castro convertible gift present    </section>",2017-10-24 15:17,"<span class=""result-meta"">
                <span class=""result-price"">$100</span>


                <span class=""result-hood""> (Scarsdale)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359335831"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
"hand made table, skis, tv stand, art, air conditioners,",https://newyork.craigslist.org/brk/fuo/d/hand-made-table-skis-tv-stand/6324340669.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/brk/fuo/d/hand-made-table-skis-tv-stand/6324340669.html""></div>
        </div>
We're moving and have a lot of items for sale and ready to be picked up. Will accept best offers!<br>
<br>
TV Stand ($50)<br>
34Lx15.75Wx22.25H<br>
<br>
Kitchen table ($150)<br>
Hand made! Will include chairs for free.<br>
54x37x36<br>
<br>
4 chairs ($20/ea)<br>
24"" seat to floor, two are slightly damaged will sell for $10 <br>
<br>
Air conditioner (older model $30)<br>
6,000 BTU<br>
<br>
Air conditioner (newer model with remote $50)<br>
12,000 BTU<br>
<br>
Microwave ($70)<br>
Barely used, works great.<br>
<br>
IKEA painting ($35)<br>
50Lx39.5H<br>
<br>
Dog carrier (holds up to 30lbs)<br>
$40<br>
<br>
Medium Dog crate ($25)<br>
<br>
Men's Volkl Skis size 177  19.2wide <br>
Intermediate-expert<br>
Bindings included<br>
$75 <br>
<br>
Metal baby/Dog gate <br>
Expandable<br>
$30    </section>",2017-10-24 15:17,"<span class=""result-meta"">
                <span class=""result-price"">$30</span>


                <span class=""result-hood""> (Brooklyn)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6324340669"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
Turquoise Side Table / Accent Table,https://newyork.craigslist.org/mnh/fuo/d/turquoise-side-table-accent/6359336936.html,new york - antiques,"<section id=""postingbody"">
        <div class=""print-information print-qrcode-container"">
            <p class=""print-qrcode-label"">QR Code Link to This Post</p>
            <div class=""print-qrcode"" data-location=""https://newyork.craigslist.org/mnh/fuo/d/turquoise-side-table-accent/6359336936.html""></div>
        </div>
Brand : InspireQ<br>
Dimensions : Width: 24 inch(es), Height: 26 inch(es), Depth: 18 inch(es)<br>
Material : Wood<br>
Condition : Good<br>
Years Old : 1+<br>
<br>
- Accent table with single drawer<br>
- Marine green<br>
- Made of poplar wood<br>
- X-base legs offer stability<br>
- French dovetail drawer construction<br>
- Wood glides<br>
    </section>",2017-10-24 15:18,"<span class=""result-meta"">
                <span class=""result-price"">$90</span>


                <span class=""result-hood""> (East Village)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6359336936"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>"
