URL,Meta_HTML,Section,Time,Title
https://newhaven.craigslist.org/fuo/d/beautiful-loveseat/6327387591.html,"<span class=""result-meta"">
                <span class=""result-price"">$75</span>


                <span class=""result-hood""> (Madison)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6327387591"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:28,Beautiful Loveseat
https://newhaven.craigslist.org/fuo/d/manhattan-style-leather-queen/6342135903.html,"<span class=""result-meta"">
                <span class=""result-price"">$1100</span>


                <span class=""result-hood""> (Higganum)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6342135903"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:27,Manhattan style leather queen sleeper sofa
https://newhaven.craigslist.org/fuo/d/solid-wood-tv-console-armoire/6328686749.html,"<span class=""result-meta"">
                <span class=""result-price"">$100</span>


                <span class=""result-hood""> (Hamden)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6328686749"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:27,Solid Wood TV Console/Armoire
https://newhaven.craigslist.org/fuo/d/antique-desk/6342893565.html,"<span class=""result-meta"">
                <span class=""result-price"">$400</span>


                <span class=""result-hood""> (Madison)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6342893565"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:27,Antique Desk
https://newhaven.craigslist.org/fuo/d/iron-glass-top-side-table/6328683913.html,"<span class=""result-meta"">
                <span class=""result-price"">$140</span>


                <span class=""result-hood""> (Hamden)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6328683913"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:27,Iron Glass top Side table
https://newhaven.craigslist.org/fuo/d/parker-designer-style-leather/6342133765.html,"<span class=""result-meta"">
                <span class=""result-price"">$500</span>


                <span class=""result-hood""> (Higganum)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6342133765"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:27,"Parker ""Designer Style"" Leather Club Chair & Ottoman"
https://newhaven.craigslist.org/fuo/d/wood-hutch/6360737363.html,"<span class=""result-meta"">
                <span class=""result-price"">$1000</span>


                <span class=""result-hood""> (Westport)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360737363"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:22,Wood hutch
https://newhaven.craigslist.org/fuo/d/antique-cabinet-dresser/6344701232.html,"<span class=""result-meta"">
                <span class=""result-price"">$200</span>


                <span class=""result-hood""> (Beacon Falls)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6344701232"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:03,Antique Cabinet Dresser
https://newhaven.craigslist.org/fuo/d/lighted-wood-curio-cabinet/6344692948.html,"<span class=""result-meta"">
                <span class=""result-price"">$175</span>


                <span class=""result-hood""> (Beacon Falls)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6344692948"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:02,Lighted Wood Curio Cabinet
https://newhaven.craigslist.org/fuo/d/wood-curio-cabinet/6344688194.html,"<span class=""result-meta"">
                <span class=""result-price"">$175</span>


                <span class=""result-hood""> (Beacon Falls)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6344688194"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:02,Wood Curio Cabinet
