URL,Meta_HTML,Section,Time,Title
https://newyork.craigslist.org/que/fuo/d/sofa-sleeper/6360769685.html,"<span class=""result-meta"">


                <span class=""result-hood""> (queens)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360769685"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",New York - Antiques,2017-10-25 16:04,___SOFA SLEEPER________
https://newhaven.craigslist.org/fuo/d/new-frames-all-5/6328477083.html,"<span class=""result-meta"">
                <span class=""result-price"">$5</span>


                <span class=""result-hood""> (Bridgeport)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6328477083"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 16:00,New frames all $5
https://newyork.craigslist.org/mnh/fuo/d/ethan-allen-round-dining/6360801594.html,"<span class=""result-meta"">
                <span class=""result-price"">$695</span>


                <span class=""result-hood""> (Brooklyn)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360801594"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",New York - Antiques,2017-10-25 16:04,**** ETHAN ALLEN ROUND DINING TABLE & 4 CHAIRS ***
https://newyork.craigslist.org/que/fud/d/leather-executive-chair/6360801668.html,"<span class=""result-meta"">
                <span class=""result-price"">$72</span>


                <span class=""result-hood""> (Astoria)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360801668"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",New York - Antiques,2017-10-25 16:04,Leather Executive Chair (Originally 750)
https://newyork.craigslist.org/mnh/fuo/d/antique-vintage-custom-settee/6347689962.html,"<span class=""result-meta"">
                <span class=""result-price"">$400</span>


                <span class=""result-hood""> (Midtown)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6347689962"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",New York - Antiques,2017-10-25 16:03,Antique Vintage Custom Settee Couch and Chair
https://newhaven.craigslist.org/fuo/d/brayden-studio-tubbs-275-bar/6360789501.html,"<span class=""result-meta"">
                <span class=""result-price"">$400</span>


                <span class=""result-hood""> (Milford, CT)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360789501"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:56,Brayden Studio - Tubbs 27.5'' Bar Stool with Cushion (Set of 4)
https://newhaven.craigslist.org/fuo/d/ashley-furniture-couch-make/6357534100.html,"<span class=""result-meta"">
                <span class=""result-price"">$1</span>


                <span class=""result-hood""> (Ansonia ct)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6357534100"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:54,Ashley furniture couch make offer
https://newhaven.craigslist.org/fuo/d/wall-style-book-or/6360783251.html,"<span class=""result-meta"">
                <span class=""result-price"">$20</span>


                <span class=""result-hood""> (Newtown)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360783251"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",CT - Furniture,2017-10-25 15:52,wall style  book or collectible shelves
https://newyork.craigslist.org/mnh/fuo/d/minimalist-oak-coat-rack/6360801036.html,"<span class=""result-meta"">
                <span class=""result-price"">$150</span>


                <span class=""result-hood""> (Upper West Side)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360801036"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",New York - Antiques,2017-10-25 16:03,Minimalist Oak Coat Rack Closet Storage Solution
https://newyork.craigslist.org/brk/fuo/d/2-xl-antique-frame-oak-gesso/6340740009.html,"<span class=""result-meta"">
                <span class=""result-price"">$75</span>


                <span class=""result-hood""> (brooklyn)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6340740009"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",New York - Antiques,2017-10-25 16:03,#2-XL ANTIQUE FRAME-OAK & GESSO-PERFECT
