Title,URL,Section,Time,Meta_HTML,Image
Wood Bar,https://newhaven.craigslist.org/fuo/d/wood-bar/6360819903.html,CT - Furniture,2017-10-25 16:16,"<span class=""result-meta"">
                <span class=""result-price"">$375</span>


                <span class=""result-hood""> (Westport)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360819903"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:01717_cCJFB1q4D47
Entertainment center/media wall unit/black lacquer imported from ITALY,https://newhaven.craigslist.org/fuo/d/entertainment-center-media/6323173971.html,CT - Furniture,2017-10-25 16:14,"<span class=""result-meta"">


                <span class=""result-hood""> (Meriden)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6323173971"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00m0m_5MrclVJS29h,1:00o0o_gENqTjxFuRc,1:00G0G_nWPWUDjiVU,1:00808_btA23WIQjGF"
Hand Crafted Black Lacquer Desk,https://newhaven.craigslist.org/fuo/d/hand-crafted-black-lacquer/6331363574.html,CT - Furniture,2017-10-25 16:13,"<span class=""result-meta"">


                <span class=""result-hood""> (Meriden)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6331363574"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:01616_1a6HIIsQIHt,1:00w0w_3YOLs3yAOG7,1:00Q0Q_7N6AhoL4A08,1:00t0t_9Q85nYrJyya"
Upholstered chair,https://newhaven.craigslist.org/fuo/d/upholstered-chair/6360813264.html,CT - Furniture,2017-10-25 16:11,"<span class=""result-meta"">
                <span class=""result-price"">$300</span>


                <span class=""result-hood""> (Westport)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360813264"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:01414_9JEqcSgB9ay
Brayden Studio Reser Bar Stool (set of 6),https://newhaven.craigslist.org/fuo/d/brayden-studio-reser-bar/6360813022.html,CT - Furniture,2017-10-25 16:11,"<span class=""result-meta"">
                <span class=""result-price"">$200</span>


                <span class=""result-hood""> (Milford, CT)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360813022"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00909_7dpwNiQWlBc,1:00G0G_8iFzoAe98om,1:00u0u_6JCf6TCH4ma"
Mint Marble kitchen Table Set,https://newhaven.craigslist.org/fuo/d/mint-marble-kitchen-table-set/6360808982.html,CT - Furniture,2017-10-25 16:08,"<span class=""result-meta"">
                <span class=""result-price"">$400</span>


                <span class=""result-hood""> (West Haven)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360808982"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00000_7vEGaurQjxU,1:00d0d_dyX2tcOhHRC,1:00A0A_d5DUfYX9USP"
New frames all $5,https://newhaven.craigslist.org/fuo/d/new-frames-all-5/6328477083.html,CT - Furniture,2017-10-25 16:00,"<span class=""result-meta"">
                <span class=""result-price"">$5</span>


                <span class=""result-hood""> (Bridgeport)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6328477083"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00b0b_eF4D0qhS1MV
Brayden Studio - Tubbs 27.5'' Bar Stool with Cushion (Set of 4),https://newhaven.craigslist.org/fuo/d/brayden-studio-tubbs-275-bar/6360789501.html,CT - Furniture,2017-10-25 15:56,"<span class=""result-meta"">
                <span class=""result-price"">$400</span>


                <span class=""result-hood""> (Milford, CT)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360789501"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00N0N_2SkS0ujWWh3,1:00J0J_2cEZiIWB8aO,1:00C0C_5aAYsN8GM4K"
Ashley furniture couch make offer,https://newhaven.craigslist.org/fuo/d/ashley-furniture-couch-make/6357534100.html,CT - Furniture,2017-10-25 15:54,"<span class=""result-meta"">
                <span class=""result-price"">$1</span>


                <span class=""result-hood""> (Ansonia ct)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6357534100"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00H0H_a17h1gQ1XP3
wall style  book or collectible shelves,https://newhaven.craigslist.org/fuo/d/wall-style-book-or/6360783251.html,CT - Furniture,2017-10-25 15:52,"<span class=""result-meta"">
                <span class=""result-price"">$20</span>


                <span class=""result-hood""> (Newtown)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6360783251"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00I0I_faFC3Lj7PW2
