Title,URL,Section,Time,Meta_HTML,Image
Nice Couch,https://newhaven.craigslist.org/fuo/d/nice-couch/6354907888.html,CT - Furniture,2017-11-06 11:47,"<span class=""result-meta"">
                <span class=""result-price"">$125</span>


                <span class=""result-hood""> (EAST HAVEN)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6354907888"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00X0X_fUNOAPK6gD9,1:00j0j_9e1nOw3pHPK,1:01111_2ECSplLYy8L"
Glass hutch,https://newhaven.craigslist.org/fuo/d/glass-hutch/6375983627.html,CT - Furniture,2017-11-06 11:47,"<span class=""result-meta"">
                <span class=""result-price"">$150</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6375983627"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00000_cyTo2WgK7KO
Couch for sale,https://newhaven.craigslist.org/fuo/d/couch-for-sale/6364209723.html,CT - Furniture,2017-11-06 11:47,"<span class=""result-meta"">
                <span class=""result-price"">$125</span>


                <span class=""result-hood""> (EAST HAVEN)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6364209723"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:01111_2ECSplLYy8L,1:00j0j_9e1nOw3pHPK"
Matching furniture set,https://newhaven.craigslist.org/fuo/d/matching-furniture-set/6375977149.html,CT - Furniture,2017-11-06 11:43,"<span class=""result-meta"">
                <span class=""result-price"">$200</span>


                <span class=""result-hood""> (Waterbury, CT)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6375977149"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00w0w_65Pj86kD5co,1:00e0e_2VVquIzXA4w,1:00Y0Y_7jacAjjyti3"
Beautiful rich mahogany 6' round table needs some TLC,https://newhaven.craigslist.org/fuo/d/beautiful-rich-mahogany-6/6352255035.html,CT - Furniture,2017-11-06 11:37,"<span class=""result-meta"">
                <span class=""result-price"">$250</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6352255035"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00s0s_2UxSypCYeUI,1:00T0T_fJ2mhYndF3f,1:00F0F_1b1jly5xeRb,1:01010_gpQnak2zjLI,1:00s0s_9jEI79g1f5A,1:00R0R_6JK1kTlkCKo"
Grinder / Mincer / Pasta Maker (throw me an offer),https://newhaven.craigslist.org/fuo/d/grinder-mincer-pasta-maker/6371855292.html,CT - Furniture,2017-11-06 11:36,"<span class=""result-meta"">
                <span class=""result-price"">$15</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6371855292"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00h0h_qFRVY7ExYf,1:00a0a_dBssU58tSFT"
Presto Cool Daddy Cool Touch Deep Fryer,https://newhaven.craigslist.org/fuo/d/presto-cool-daddy-cool-touch/6368334582.html,CT - Furniture,2017-11-06 11:36,"<span class=""result-meta"">
                <span class=""result-price"">$20</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6368334582"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00h0h_37hVX4DuXa7
Lovely Vintage Walnut Executive Desk,https://newhaven.craigslist.org/fuo/d/lovely-vintage-walnut/6373185390.html,CT - Furniture,2017-11-06 11:34,"<span class=""result-meta"">
                <span class=""result-price"">$485</span>


                <span class=""result-hood""> (Manchester, CT)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6373185390"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:01515_2Z66qxnSjP2,1:01010_7C9vLIVHoXP,1:00T0T_lTsPflSkvbE,1:00P0P_eYMSDCnmaWt,1:00B0B_cCU5VIWe5Mp,1:00e0e_bjFXYMFXwFY,1:00000_9Blw56Yk0w6"
Brand New Regalo Swing Down Bed Rail / Kids Safety,https://newhaven.craigslist.org/fuo/d/brand-new-regalo-swing-down/6371883760.html,CT - Furniture,2017-11-06 11:31,"<span class=""result-meta"">
                <span class=""result-price"">$20</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6371883760"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00k0k_1uV7oUal8nJ,1:00M0M_3572l2fL9CV,1:00S0S_5EqIS59rios"
Moving Sale Coffee Grinder 15 OBO,https://newhaven.craigslist.org/fuo/d/moving-sale-coffee-grinder-15/6371887480.html,CT - Furniture,2017-11-06 11:31,"<span class=""result-meta"">
                <span class=""result-price"">$15</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6371887480"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00S0S_9i5crpU4X9x,1:01212_11AxW7UVmZi"
