Title,URL,Section,Time,Meta_HTML,Image
* Antique Fireplace Mantle - Ornate Plaster - c. 1890's ! *,https://newyork.craigslist.org/brk/atq/d/antique-fireplace-mantle/6378156763.html,New york - Furniture,2017-11-07 21:09,"<span class=""result-meta"">
                <span class=""result-price"">$2200</span>


                <span class=""result-hood""> (Lambertville-Antique Capital of NJ)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6378156763"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",0:00I0I_9SUtD8J4eSu
* ANTIQUE OAK & MILK GLASS BUTCHER SHOP INTERIOR - C. 1880-90 ! *,https://newyork.craigslist.org/brk/atq/d/antique-oak-milk-glass/6378155121.html,New york - Furniture,2017-11-07 21:07,"<span class=""result-meta"">
                <span class=""result-price"">$3500</span>


                <span class=""result-hood""> (Delaware Valley, PA)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6378155121"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00505_1swlNdMK8hr,1:00W0W_gMVEiWICmKE,1:00P0P_bztQniRnFD,1:00x0x_l05HY9nihRw,1:00p0p_2Jx90eM22kk,1:00r0r_eR4zSHQINs3,1:00X0X_avGMqtBa619"
GREAT FRESH ATTIC FIND ! - ANTIQUE WOODEN DOLL HOUSE - C. 1940'S !,https://newyork.craigslist.org/brk/atq/d/great-fresh-attic-find/6378154532.html,New york - Furniture,2017-11-07 21:06,"<span class=""result-meta"">
                <span class=""result-price"">$175</span>


                <span class=""result-hood""> (NJ-W/DEL'Y TO NYC &amp; BEYOND !)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6378154532"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00n0n_eYxQNacdukF,1:00M0M_9KyLM69gzXJ,1:01414_5wBXkDPak7N"
vintage antique Ceiling Light,https://newyork.craigslist.org/lgi/atq/d/vintage-antique-ceiling-light/6339460645.html,New york - Furniture,2017-11-07 21:06,"<span class=""result-meta"">



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6339460645"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00202_dLpNi12YptS,1:00g0g_hP27DBqQaEy,1:00E0E_ftRiOOGQBbx"
Antique  lamp 1950s,https://newyork.craigslist.org/lgi/atq/d/antique-lamp-1950s/6371785942.html,New york - Furniture,2017-11-07 21:05,"<span class=""result-meta"">
                <span class=""result-price"">$300</span>


                <span class=""result-hood""> (Mineola)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6371785942"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00P0P_3w1ZWVbd5Tu,1:00y0y_dTsUvFy7fKS,1:00N0N_2OsKoUCg2GR,1:00G0G_fzn68FJEHrR,1:00A0A_cq9KZK0A9q4,1:00W0W_5kE4u6wi7MY"
Vaughan Double Bit Axe,https://newlondon.craigslist.org/tls/d/vaughan-double-bit-axe/6340669442.html,CT - Furniture,2017-11-07 21:06,"<span class=""result-meta"">
                <span class=""result-price"">$40</span>


                <span class=""result-hood""> (Thompson Area)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6340669442"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00s0s_92KB7HsUV0m,1:00f0f_61bHNpcyNtp,1:00y0y_5PPCfOB0QsM"
* Rustic 18th Century Carved Mahogany 'Pirates' Table-w/iron straps! *,https://newyork.craigslist.org/mnh/atq/d/rustic-18th-century-carved/6378153473.html,New york - Furniture,2017-11-07 21:05,"<span class=""result-meta"">
                <span class=""result-price"">$3500</span>


                <span class=""result-hood""> (Lambertville-Antique Capital of NJ)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6378153473"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:01515_878yCx8L9KD,1:00B0B_5e6Cf3Uv13U,1:00101_a9SpXHniwIi,1:00i0i_7eyMnq1HufV,1:00606_dTLtSm9udIi,1:00X0X_1TWnQEpAqGF,1:00808_332ifkEYSnC,1:00909_ajX0ELrGpQ4,1:00b0b_aUGJybHygwU,1:00b0b_lTdIoTw1PBy,1:00l0l_8fecfxsQGWt,1:00r0r_9xbMGO4j5JW"
Mable round table 1950s,https://newyork.craigslist.org/lgi/atq/d/mable-round-table-1950s/6371786104.html,New york - Furniture,2017-11-07 21:05,"<span class=""result-meta"">
                <span class=""result-price"">$350</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6371786104"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00j0j_8pKRig8Zzp5,1:00I0I_hcdAVaO7MLV,1:01616_eOJF7o5Xumi,1:00Q0Q_ctCbImmHyCO"
Antique  lamp 1950s,https://newyork.craigslist.org/lgi/atq/d/antique-lamp-1950s/6374193175.html,New york - Furniture,2017-11-07 21:05,"<span class=""result-meta"">
                <span class=""result-price"">$300</span>


                <span class=""result-hood""> (Mineola)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6374193175"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00P0P_3w1ZWVbd5Tu,1:00y0y_dTsUvFy7fKS,1:00N0N_2OsKoUCg2GR,1:00G0G_fzn68FJEHrR,1:00A0A_cq9KZK0A9q4,1:00W0W_5kE4u6wi7MY"
Antique  lamp 1950s,https://newyork.craigslist.org/lgi/atq/d/antique-lamp-1950s/6375313525.html,New york - Furniture,2017-11-07 21:04,"<span class=""result-meta"">
                <span class=""result-price"">$300</span>


                <span class=""result-hood""> (Mineola)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6375313525"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00P0P_3w1ZWVbd5Tu,1:00y0y_dTsUvFy7fKS,1:00N0N_2OsKoUCg2GR,1:00G0G_fzn68FJEHrR,1:00A0A_cq9KZK0A9q4,1:00W0W_5kE4u6wi7MY"
Sectional sofa 1950,https://newyork.craigslist.org/lgi/atq/d/sectional-sofa-1950/6375314239.html,New york - Furniture,2017-11-07 21:04,"<span class=""result-meta"">
                <span class=""result-price"">$500</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6375314239"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:01515_957Q0WTip53,1:00k0k_gshEvkqBrfu,1:00707_jiTj6ybgoWp,1:01313_fBywDMBEVeN,1:00w0w_iOxTz4blZaG"
