Title,URL,Section,Time,Meta_HTML,Image
L-desk with Full suite and storage,https://newhaven.craigslist.org/fuo/d/desk-with-full-suite-and/6377298897.html,CT - Furniture,2017-11-07 10:58,"<span class=""result-meta"">
                <span class=""result-price"">$4400</span>


                <span class=""result-hood""> (S.NH)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6377298897"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:01313_cjx68y4zoZ5
Queen Sleeper Sofa w/Memory Foam mattress,https://newhaven.craigslist.org/fuo/d/queen-sleeper-sofa-memory/6369964052.html,CT - Furniture,2017-11-07 10:51,"<span class=""result-meta"">
                <span class=""result-price"">$700</span>


                <span class=""result-hood""> (Shelton)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6369964052"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00P0P_6g5zrUz5mcU,1:00505_henJr1oDuE"
Ikea full size bed +mattress,https://newhaven.craigslist.org/fuo/d/ikea-full-size-bed-mattress/6367560720.html,CT - Furniture,2017-11-07 10:47,"<span class=""result-meta"">
                <span class=""result-price"">$100</span>



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6367560720"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00G0G_awy8x8eNOQB
Solid Oak table,https://newhaven.craigslist.org/fuo/d/solid-oak-table/6377222213.html,CT - Furniture,2017-11-07 10:46,"<span class=""result-meta"">
                <span class=""result-price"">$300</span>


                <span class=""result-hood""> (Waterbury, CT)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6377222213"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00C0C_46ceVh0PFy7,1:00x0x_au1rBgmg1Sd,1:00a0a_1SOO0lUS2pT,1:00y0y_8eujNsdHq1c,1:00n0n_lVGmB0ZoL6,1:00S0S_g2HDcHG6uvy,1:00n0n_9GvQE67xpSN"
Raymour & Flanigan Bed Frame,https://newhaven.craigslist.org/fuo/d/raymour-flanigan-bed-frame/6377256887.html,CT - Furniture,2017-11-07 10:30,"<span class=""result-meta"">
                <span class=""result-price"">$400</span>


                <span class=""result-hood""> (Trumbull)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6377256887"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00J0J_j9cDrfDV0jU
Leather Sofa & Loveseat,https://newhaven.craigslist.org/fuo/d/leather-sofa-loveseat/6365491104.html,CT - Furniture,2017-11-07 10:26,"<span class=""result-meta"">
                <span class=""result-price"">$425</span>


                <span class=""result-hood""> (Milford)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6365491104"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00a0a_f7YskbayTBX,1:00w0w_Y6fs14qnhh,1:01010_ugEv6ViCHC,1:00A0A_jXSDrLdbQVG,1:00P0P_bLFBp4EhAA3,1:00K0K_f600MMvJLX8,1:00t0t_2gIO6UhEebq,1:00e0e_e3AbV2cS3fd,1:00I0I_90TAtIHqmnP"
Traditional Korean furniture,https://newhaven.craigslist.org/fuo/d/traditional-korean-furniture/6377234713.html,CT - Furniture,2017-11-07 10:15,"<span class=""result-meta"">
                <span class=""result-price"">$700</span>


                <span class=""result-hood""> (East Hampton)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6377234713"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","0:00808_ltc8YQbqwJw,0:00y0y_88PrdKpdklT,0:00x0x_gxdLaMef5P7,0:00W0W_e1JTjogGz7B"
Mirror ........$295,https://newhaven.craigslist.org/fuo/d/mirror-295/6377227969.html,CT - Furniture,2017-11-07 10:11,"<span class=""result-meta"">



                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6377227969"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:01515_i9TL1d4FL53,1:00D0D_kcRvXhUowWO,1:00o0o_anQgr3qQGRo,1:00L0L_i3O4bHkVQ5e"
TRADE COMPUTER FOR ROLL TOP DESK,https://newhaven.craigslist.org/fuo/d/trade-computer-for-roll-top/6355014480.html,CT - Furniture,2017-11-07 10:07,"<span class=""result-meta"">


                <span class=""result-hood""> (NORTH BRANFORD)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6355014480"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>",1:00r0r_6r77A4egAhX
Toy Shelves / Book Shelves,https://newhaven.craigslist.org/fuo/d/toy-shelves-book-shelves/6356030358.html,CT - Furniture,2017-11-07 10:06,"<span class=""result-meta"">
                <span class=""result-price"">$100</span>


                <span class=""result-hood""> (Madison)</span>

                <span class=""result-tags"">
                    pic
                    <span class=""maptag"" data-pid=""6356030358"">map</span>
                </span>

                <span class=""banish icon icon-trash"" role=""button"">
                    <span class=""screen-reader-text"">hide this posting</span>
                </span>

            <span class=""unbanish icon icon-trash red"" role=""button"" aria-hidden=""true""></span>
            <a href=""#"" class=""restore-link"">
                <span class=""restore-narrow-text"">restore</span>
                <span class=""restore-wide-text"">restore this posting</span>
            </a>

        </span>","1:00Q0Q_TtuhyER4XL,1:00w0w_ec4WHxO5h0v"
